City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ivdel,RU,60.6911,60.4206,56.77,64,44,4.9,scattered clouds
80,Thompson,CA,55.7435,-97.8558,62.76,72,75,5.75,broken clouds
81,Ibb,YE,13.9667,44.1833,71.46,64,0,4.25,clear sky
82,Quelimane,MZ,-17.8786,36.8883,66.33,78,84,5.59,broken clouds
83,Christchurch,NZ,-43.5333,172.6333,48.99,97,90,3.0,drizzle
84,Ponta Do Sol,PT,32.6667,-17.1,70.72,76,0,1.97,clear sky
85,Ribeira Grande,PT,38.5167,-28.7,68.4,83,40,10.36,scattered clouds
86,Hay River,CA,60.8156,-115.7999,46.92,58,81,9.51,broken clouds
87,Smithers,CA,54.7804,-127.1743,55.72,54,75,8.05,broken clouds
88,Shemonaikha,KZ,50.6328,81.9056,51.1,81,6,4.54,clear sky
89,Jiayuguan,CN,39.8167,98.3,61.95,28,3,4.94,clear sky
90,Kruisfontein,ZA,-34.0033,24.7314,62.89,21,0,8.46,clear sky
91,Ormara,PK,25.2088,64.6357,83.95,75,39,8.66,scattered clouds
92,Karratha,AU,-20.7377,116.8463,75.15,64,100,7.38,overcast clouds
93,Kabinda,CD,-6.1333,24.4833,73.71,56,24,3.47,few clouds
94,Saskylakh,RU,71.9167,114.0833,35.6,72,53,4.45,broken clouds
95,Marsa Matruh,EG,31.3525,27.2453,70.86,67,0,8.52,clear sky
96,Severo-Kurilsk,RU,50.6789,156.125,41.77,94,100,7.05,overcast clouds
97,Talnakh,RU,69.4865,88.3972,29.59,99,100,3.04,light snow
98,Bubaque,GW,11.2833,-15.8333,79.63,84,68,16.82,broken clouds
99,San Cristobal,VE,7.7669,-72.225,71.78,89,100,4.21,overcast clouds
100,Provideniya,RU,64.3833,-173.3,35.71,80,0,4.47,clear sky
101,Pevek,RU,69.7008,170.3133,46.51,72,22,12.62,few clouds
102,Tiksi,RU,71.6872,128.8694,43.41,66,99,8.16,overcast clouds
103,Puerto Ayora,EC,-0.7393,-90.3518,82.36,87,35,5.99,scattered clouds
104,East London,ZA,-33.0153,27.9116,63.48,42,0,9.51,clear sky
105,Maniitsoq,GL,65.4167,-52.9,41.36,88,100,6.55,overcast clouds
106,Katsuura,JP,35.1333,140.3,70.11,89,99,3.44,overcast clouds
107,Praia Da Vitoria,PT,38.7333,-27.0667,69.76,85,100,5.12,overcast clouds
108,Hermanus,ZA,-34.4187,19.2345,69.91,43,0,11.43,clear sky
109,Pacific Grove,US,36.6177,-121.9166,74.25,74,40,5.01,scattered clouds
110,Kuzovatovo,RU,53.5468,47.6866,56.93,93,100,3.44,overcast clouds
111,Nenjiang,CN,49.1833,125.2167,53.17,72,0,4.92,clear sky
112,Itarema,BR,-2.9248,-39.9167,80.31,80,57,10.29,broken clouds
113,Mehamn,NO,71.0357,27.8492,41.18,70,6,4.0,clear sky
114,Kadoma,JP,34.7333,135.5833,70.18,76,100,1.63,overcast clouds
115,Bethel,US,41.3712,-73.414,94.82,45,1,1.01,clear sky
116,Gizo,SB,-8.103,156.8419,81.86,78,20,8.05,few clouds
117,Faanui,PF,-16.4833,-151.75,80.74,74,18,10.92,few clouds
118,Fuzesgyarmat,HU,47.1,21.2167,70.02,73,1,5.17,clear sky
119,Vao,NC,-22.6667,167.4833,70.29,67,100,15.28,overcast clouds
120,Honiara,SB,-9.4333,159.95,76.59,90,8,5.48,clear sky
121,Vaasa,FI,63.096,21.6158,64.42,63,0,8.05,clear sky
122,Vallenar,CL,-28.5708,-70.7581,74.16,33,0,6.73,clear sky
123,Esperance,AU,-33.8667,121.9,60.01,60,100,27.25,overcast clouds
124,Alice Springs,AU,-23.7,133.8833,36.95,75,26,2.19,scattered clouds
125,Yellowknife,CA,62.456,-114.3525,49.32,57,75,7.0,broken clouds
126,Ostrovnoy,RU,68.0531,39.5131,40.48,80,7,8.99,clear sky
127,Taoudenni,ML,22.6783,-3.9836,108.73,6,85,6.98,overcast clouds
128,Tamale,GH,9.4008,-0.8393,89.8,46,20,8.28,few clouds
129,Chokurdakh,RU,70.6333,147.9167,36.19,80,100,7.74,overcast clouds
130,Avarua,CK,-21.2078,-159.775,71.65,73,75,8.05,broken clouds
131,Urengoy,RU,65.9667,78.3667,34.48,75,67,6.93,broken clouds
132,Mar Del Plata,AR,-38.0023,-57.5575,57.22,61,0,1.01,clear sky
133,Firozpur,IN,30.9167,74.6,93.42,23,0,3.2,clear sky
134,Atocha,BO,-20.9333,-66.2333,48.0,15,0,33.24,clear sky
135,Sakakah,SA,29.9697,40.2064,87.8,13,0,7.7,clear sky
136,Naze,JP,28.3667,129.4833,69.55,91,100,4.32,overcast clouds
137,Salonta,RO,46.8,21.65,68.49,78,0,6.2,clear sky
138,San Patricio,US,28.017,-97.5169,92.01,65,6,17.11,clear sky
139,Upernavik,GL,72.7868,-56.1549,37.4,85,53,3.22,broken clouds
140,Banes,CU,20.9625,-75.7186,90.21,67,9,19.71,clear sky
141,Gamba,GA,-2.65,10.0,76.01,94,77,5.79,broken clouds
142,Saint Anthony,US,45.0205,-93.218,90.84,39,1,5.01,clear sky
143,Narsaq,GL,60.9167,-46.05,57.42,68,100,6.78,overcast clouds
144,Ancud,CL,-41.8697,-73.8203,51.22,80,100,15.5,overcast clouds
145,Saint George,US,37.1041,-113.5841,99.39,11,1,1.99,clear sky
146,Cache Creek,CA,50.8101,-121.3246,60.91,45,100,5.55,overcast clouds
147,Amarwara,IN,22.3,79.1667,83.57,52,97,5.93,overcast clouds
148,Fortuna,US,40.5982,-124.1573,68.41,63,40,4.0,scattered clouds
149,Porto Murtinho,BR,-21.6989,-57.8825,91.36,29,37,11.56,scattered clouds
150,Saint-Leu,RE,-21.15,55.2833,70.66,79,75,16.35,broken clouds
151,Waddan,LY,29.1614,16.139,85.55,18,0,9.73,clear sky
152,Luwuk,ID,-0.9516,122.7875,76.12,75,96,3.71,overcast clouds
153,Tabou,CI,4.423,-7.3528,77.88,88,100,9.48,overcast clouds
154,Fort Nelson,CA,58.8053,-122.7002,44.71,87,100,8.72,light rain
155,Erenhot,CN,43.6475,111.9767,68.13,42,100,5.48,overcast clouds
156,Marshalltown,US,42.0494,-92.908,86.23,57,1,20.71,clear sky
157,Qaanaaq,GL,77.484,-69.3632,40.24,85,51,5.41,broken clouds
158,Isangel,VU,-19.55,169.2667,71.01,65,100,11.63,overcast clouds
159,San Pedro,PH,14.35,121.0167,83.35,85,75,2.93,broken clouds
160,Coquimbo,CL,-29.9533,-71.3436,56.93,82,75,8.41,broken clouds
161,Saint-Pierre,RE,-21.3393,55.4781,71.28,86,75,10.36,heavy intensity rain
162,Dingle,PH,10.9995,122.6711,75.67,87,100,2.21,light rain
163,Mount Isa,AU,-20.7333,139.5,46.17,71,0,0.0,clear sky
164,Buchanan,LR,5.8808,-10.0467,80.56,84,98,4.07,moderate rain
165,Anavra,GR,39.2,22.0833,74.3,46,83,7.14,broken clouds
166,Adrar,MR,20.5022,-10.0711,105.26,9,94,13.38,overcast clouds
167,Thunder Bay,CA,48.4001,-89.3168,87.98,72,62,10.45,broken clouds
168,Codrington,AU,-38.2667,141.9667,56.17,65,100,18.97,overcast clouds
169,Pundaguitan,PH,6.3711,126.1689,82.26,76,100,5.37,overcast clouds
170,Gewane,ET,10.1664,40.6453,93.18,25,100,3.89,overcast clouds
171,Poum,NC,-20.2333,164.0167,72.28,61,41,17.25,scattered clouds
172,Chowchilla,US,37.123,-120.2602,95.02,34,1,9.01,clear sky
173,Carnarvon,AU,-24.8667,113.6333,59.07,82,100,6.91,overcast clouds
174,Ust-Omchug,RU,61.15,149.6333,42.33,86,100,5.99,overcast clouds
175,Chaman,PK,30.9236,66.4512,86.77,10,0,7.67,clear sky
176,Gien,FR,47.6933,2.6309,67.28,81,92,6.13,overcast clouds
177,Aasiaat,GL,68.7098,-52.8699,36.25,88,69,3.29,broken clouds
